sentence,level-1, lp, mean_lp, pen_lp, div_lp, sub_lp, slor, pen_slor
"Вдруг решетка беззвучно поехала в сторону, и на балконе возникла таинственная фигура, прячущаяся от лунного света, и погрозила Ивану пальцем.",1,-100.99900937080383,-3.2580325603485107,-24.08774327198004,-1,-1,-1,-1
Этим летом не никуда ездили.,0,-48.74923324584961,-6.964176177978516,-27.999082018437107,-1,-1,-1,-1
Только Иван выразил какую бы то ни было готовность помочь.,1,-49.42676639556885,-4.493342399597168,-22.55211165761209,-1,-1,-1,-1
"Теперь ты видишь собственными глазами, как тут хорошо.",1,-40.906362533569336,-4.090636253356934,-19.65345261774908,-1,-1,-1,-1
На поверку вся теория оказалась полной чепухой.,1,-32.480151653289795,-3.2480151653289795,-15.6050815080755,-1,-1,-1,-1
Он всегда сидит в библиотеке.,1,-29.3426570892334,-4.890442848205566,-18.06784226652387,-1,-1,-1,-1
"Представляю, как смешно это выглядело снизу.",1,-37.33614683151245,-3.733614683151245,-17.9381432920192,-1,-1,-1,-1
"Мне предоставилась возможность все видеть, сам оставаясь незамеченным.",0,-47.936805725097656,-3.687446594238281,-19.90545401269747,-1,-1,-1,-1
Наш новый сотрудник оказался коренастым мужчиной лет сорока.,1,-38.96529722213745,-3.542299747467041,-17.778823050914106,-1,-1,-1,-1
Регистрация была проведена сразу по прибытию участников симпозиума в аэропорт.,0,-60.6024169921875,-3.787651062011719,-22.245158776148056,-1,-1,-1,-1
"Не думаю, что мосты уже сняли.",1,-42.472633361816406,-5.309079170227051,-22.88102666070127,-1,-1,-1,-1
"Предстояли очередные выборы, на которых он дал согласие баллотироваться в депутаты Совета Союза Верховного Совета СССР на новый срок.",1,-75.90558338165283,-2.919445514678955,-20.40353266744859,-1,-1,-1,-1
"После собрания кто-то сострил, что пока не разошлись, надо собрать новое собрание, чтобы подтвердить решение этого собрания.",1,-95.3924834728241,-3.815699338912964,-26.32316778558082,-1,-1,-1,-1
Наблюдается приток иностранного капитала.,1,-36.46600484848023,-5.209429264068604,-20.944219891381568,-1,-1,-1,-1
Последние пять человек пришло.,0,-45.35073280334473,-7.558455467224121,-27.9248700780666,-1,-1,-1,-1
Мы увидели славный город-герой.,1,-37.143672943115234,-4.642959117889404,-20.01018782253913,-1,-1,-1,-1
"У него только одни достоинства, а недостатков нет.",1,-41.27737998962402,-4.127737998962402,-19.831707870509444,-1,-1,-1,-1
План продуман не полностью.,1,-38.5310583114624,-6.4218430519104,-23.725631997695963,-1,-1,-1,-1
Через четверть часа он уже сидел в ресторане.,1,-29.039011001586918,-3.2265567779541016,-14.7434931730985,-1,-1,-1,-1
"Как я заметил еще из окна, каждый из них что-то нес.",1,-61.1421275138855,-4.076141834259033,-23.33659827841834,-1,-1,-1,-1
"Придет он или нет, зависит от ряда обстоятельств.",1,-39.31272149085999,-3.5738837718963623,-17.93734345336344,-1,-1,-1,-1
Ценность сведений установилась на основе предпочтений.,0,-56.83906555175781,-5.683906555175781,-27.308316175555422,-1,-1,-1,-1
"Они приняли во внимание слухи, что Аня предаст Катю.",1,-63.33626317977905,-4.872020244598389,-26.299980880893948,-1,-1,-1,-1
На повороте дороги показалась коляска.,1,-33.99374008178711,-4.249217510223389,-18.313243412111703,-1,-1,-1,-1
Он немедленно не ушел.,0,-29.07643795013428,-5.815287590026856,-19.322450433069616,-1,-1,-1,-1
Пиво он любит темное.,1,-36.09419059753418,-6.015698432922363,-22.225122301326472,-1,-1,-1,-1
Хорошо бы он не надел второпях мою шляпу.,1,-50.73811054229736,-4.612555503845215,-23.15044292172709,-1,-1,-1,-1
"Занимаясь определённым делом, оно начинает хорошо получаться.",0,-49.805933237075806,-3.831225633621216,-20.68159733661672,-1,-1,-1,-1
"Мировая общественность очень удивилась, когда в январе 2012 года обыкновенно улыбчивые и доброжелательные мальдивцы выходят на демонстрации против президента.",0,-118.91318607330322,-4.573584079742432,-31.96403964696337,-1,-1,-1,-1
Он спокойно принял возражения оппонента.,1,-38.13943433761597,-5.448490619659424,-21.905352742068448,-1,-1,-1,-1
"Он лично поруководил боевыми действиями, в результате которых беспорядки были подавлены, а иудеи были рассеянны по всему миру.",0,-82.31182551383972,-3.048586130142212,-21.57065094924959,-1,-1,-1,-1
Сильный прибой и каменистый берег сделали пляж непригодным для купания.,1,-50.07198715209961,-3.1294991970062256,-18.379783508953007,-1,-1,-1,-1
"Иван прилег, чтобы он отдохнул.",0,-33.42619729042053,-3.714021921157837,-16.970926162982177,-1,-1,-1,-1
"Мы говорим врагу: сдавайся, или мы тебя уничтожим.",1,-40.44695568084717,-3.11130428314209,-16.795341368296306,-1,-1,-1,-1
"С 23 по 33 год он выпустил множество книг, брошюр и статей.",1,-58.98528814315796,-3.932352542877197,-22.51338037625564,-1,-1,-1,-1
"К счастью, выздоровление не должно быть сложным: как правило, пациенты быстро приходят в себя после таких операций.",0,-75.53839111328125,-3.433563232421875,-22.677632837374134,-1,-1,-1,-1
"Опера Д. Д. Шостаковича «Леди Макбет Мценского уезда» — это два с половиной часа непрерывной музыки, почти нестерпимой в своём драматизме.",1,-95.72743248939514,-2.454549551010132,-19.444432387430528,-1,-1,-1,-1
У этого животного есть острые зубы.,0,-34.41833448410034,-4.916904926300049,-19.768142101811893,-1,-1,-1,-1
Он открыл шкаф и взял оттуда два больших полотенца.,1,-37.12908339500427,-3.375371217727661,-16.941007788524796,-1,-1,-1,-1
Звуков с улицы не доносилось.,1,-38.12513780593872,-4.23612642288208,-19.356640931558577,-1,-1,-1,-1
"В одном только дедушка не последовал примеру большей части помещиков, живущих на покое: он завелся всем дворянским хозяйством, только не выбрал себе по сердцу хозяюшки.",1,-166.65831470489502,-5.0502519607543945,-38.06458583872229,-1,-1,-1,-1
"Кому ты хочешь, чтобы мы сообщили?",1,-35.582133293151855,-3.9535703659057617,-18.065523624864387,-1,-1,-1,-1
"Мы общаемся, и у нас вроде происходит какой-то благотворный взаимообмен энергиями, я это чувствую.",1,-76.41138553619385,-3.3222341537475586,-22.281922013522152,-1,-1,-1,-1
Он живет в небольшом городке у Волги.,0,-36.38713836669922,-4.548392295837402,-19.60262449428364,-1,-1,-1,-1
Сильно этот поезд не опоздал.,1,-46.52477979660034,-6.646397113800049,-26.72146900947705,-1,-1,-1,-1
"Он, я думаю, согласится.",1,-25.03128218650818,-3.575897455215454,-14.376696335554266,-1,-1,-1,-1
Здесь всегда холодно.,1,-18.811294555664062,-4.702823638916016,-13.600211950201754,-1,-1,-1,-1
Иван выучился в колледже на слесаря и решил пойти на завод им.,0,-49.96315383911133,-3.122697114944458,-18.33983437082093,-1,-1,-1,-1
"Истребитель накренился, кончик крыла снёс макушку высокого дереву.",0,-80.45586395263672,-5.028491497039795,-29.53270771905509,-1,-1,-1,-1
"Через минуту нам опять открылась панорама громадного северного порта, масса зданий, и дымов, и труб, и судов на Двине.",1,-117.03827285766602,-4.179938316345215,-29.92524761582587,-1,-1,-1,-1
"В ту минуту он жалел, что остался дома.",1,-37.69736289978027,-3.7697362899780273,-18.111689470236477,-1,-1,-1,-1
График проведения ремонтных работ в цехах завода был нарушен вопреки указания директора.,0,-73.77421569824219,-4.610888481140137,-27.08009388478277,-1,-1,-1,-1
"Думаю, что и я потерял в тебе самое дорогое, что имел в жизни.",1,-49.32184600830078,-3.082615375518799,-18.104431308883537,-1,-1,-1,-1
"Его осуждали на пять лет, но тут вышел указ.",1,-46.61069583892822,-3.8842246532440186,-20.26037360903536,-1,-1,-1,-1
"Финансовый строй Веймарской республики, сложившийся в результате ноябрьской революции 1918 года, также не способствовал эффективному функционированию СФВ, несмотря на создание хорошо разработанной законодательной базы.",1,-134.10446119308472,-3.1929633617401123,-25.839609108185247,-1,-1,-1,-1
Они грелись у костров.,1,-20.25987458229065,-2.8942677974700928,-11.636242302561756,-1,-1,-1,-1
Ты должен помогать любому своему родственнику.,1,-39.61612701416016,-4.95201587677002,-21.34215815352873,-1,-1,-1,-1
"Мне захотелось узнать, как разводить и ухаживать за первоцветами в домашних условиях.",0,-58.333306550979614,-3.431370973587036,-20.6300105572374,-1,-1,-1,-1
Она принимает у него заказ уже десять минут.,1,-39.76619052886963,-4.418465614318848,-20.18982528538882,-1,-1,-1,-1
Обидный промах привёл теннисиста к поражению в матче.,1,-60.26040458679199,-4.304314613342285,-23.963495216269887,-1,-1,-1,-1
"Это был клёст-сосновик, с перьями кирпичного и клюквенного цвета, с клювом, скрещенным, как два кривых костяных ножа.",1,-145.83298301696777,-4.050916194915772,-31.343657592934385,-1,-1,-1,-1
Отсутствие жены президента на вечере журналисты объясняют болезнью.,1,-66.88825607299805,-5.574021339416504,-29.07446528536808,-1,-1,-1,-1
"Раз мы затронули тему коррупции, есть ли, на ваш взгляд, свет в конце тоннеля?",1,-55.4802942276001,-2.774014711380005,-17.713637342198005,-1,-1,-1,-1
У меня есть седые волосы.,1,-28.63847923278809,-4.091211318969727,-16.448486992160213,-1,-1,-1,-1
"Никогда не забуду выражения растерянности и вместе с тем готовности к сопротивлению, которое было написано у него на лице, когда он выскочил на поверхность воды.",1,-86.51543855667114,-2.883847951889038,-21.103776481375405,-1,-1,-1,-1
"Проснешься не торопясь, посердишься на что-нибудь, поворчишь.",1,-67.38302993774414,-3.743501663208008,-22.997957497195426,-1,-1,-1,-1
Сегодня письмо получил Саша.,1,-34.48674917221069,-6.897349834442139,-22.917817602711832,-1,-1,-1,-1
От кого вы получили эти сведения?,1,-22.631786346435547,-3.233112335205078,-12.998547873397436,-1,-1,-1,-1
Он перецеловал всех девушек.,1,-27.906151056289676,-3.986593008041382,-16.02787490632936,-1,-1,-1,-1
Жена не понимает причин обвально обрушившейся на неё нежности.,1,-71.17325067520142,-5.474865436553955,-29.5542401463698,-1,-1,-1,-1
"Доктор, убеждая меня начать приём лекарств, говорил, что я совершенно уверен в успешности лечения и что сомневаться не стоит.",0,-93.03738474845886,-3.7214953899383545,-25.673287872445584,-1,-1,-1,-1
"Война была тяжёлым испытанием для всего народа, но все верили и надеялись на победу.",0,-54.1127347946167,-2.848038673400879,-17.850545408763093,-1,-1,-1,-1
"Брат ушел в театр, и я сижу дома.",1,-45.84265756607056,-4.167514324188232,-20.916778650613576,-1,-1,-1,-1
"Полшколы участвовали в организации благотворительной акции, приуроченной к Дню матери.",0,-50.40569305419922,-3.150355815887451,-18.50227599597214,-1,-1,-1,-1
"Я вижу, он не придет, и не видит в том потери.",1,-65.08249092102051,-4.648749351501465,-25.88107349333397,-1,-1,-1,-1
В доме кто-то есть.,1,-22.976956129074097,-3.2824223041534424,-13.196795854153228,-1,-1,-1,-1
"Если любой инженер может выполнить эту работу, то зачем приглашать какого-то знаменитого специалиста.",1,-69.56447696685791,-3.86469316482544,-23.74248955674058,-1,-1,-1,-1
"Те, кто мечтает стать инженером, исследователем, лётчиком, космонавтом, должен развивать свою зрительную память.",0,-72.87504363059998,-3.168480157852173,-21.250707960790844,-1,-1,-1,-1
Эту книгу я уже покупал.,1,-31.90780973434448,-4.558258533477783,-18.326224276699943,-1,-1,-1,-1
"Он входит в темный коридор, задевает за что-то железное, сваленное у стены, нашаривает и открывает дверь.",1,-78.14847493171692,-2.89438796043396,-20.47960258984677,-1,-1,-1,-1
Я хочу посоветоваться с хорошим врачом.,1,-31.338459014892575,-3.917307376861572,-16.88277979179168,-1,-1,-1,-1
"Трон достался Глостеру, убийце своего брата.",1,-54.34084510803223,-4.5284037590026855,-23.620454582442687,-1,-1,-1,-1
"Отряд партизанов был переодет в немецкое обмундирование, получил немецкое оружие.",0,-58.09752941131592,-2.904876470565796,-18.549262955382293,-1,-1,-1,-1
Он объясняет отсутствие на вечере своей жены.,1,-45.60036420822144,-5.066707134246826,-23.15191307162554,-1,-1,-1,-1
"Опытные садоводы считают, что правильно выращенная живая изгородь намного долговечнее и надёжнее самых крепких заборов.",1,-77.19413638114929,-3.087765455245972,-21.30140793119079,-1,-1,-1,-1
Дело приняло неприятный оборот.,1,-21.61396741867065,-4.322793483734131,-14.363341714190842,-1,-1,-1,-1
"Дети сотрудников, имеющих какие-либо заболевания, получают льготные путёвки в санаторий.",0,-51.59221005439758,-2.715379476547241,-17.019082325258616,-1,-1,-1,-1
"В своих статьях этот журналист поставил вопросы, волнующих многих его современников.",0,-70.16909599304199,-5.012078285217285,-27.903841796107,-1,-1,-1,-1
Отсутствием на собрании он подтвердил плохое мнение о себе.,1,-65.15067100524902,-5.429222583770752,-28.31918536481657,-1,-1,-1,-1
"У меня сосед есть, — сказал Троекуров, — мелкопоместный грубиян; я хочу взять у него имение — как ты про это думаешь?",1,-127.91028070449828,-3.7620670795440674,-28.61374923058991,-1,-1,-1,-1
"Они касались подвала здания, который было принято решение превратить в эксплуатируемое помещение.",1,-82.8089599609375,-5.175559997558594,-30.396452053326755,-1,-1,-1,-1
Не существует каких-либо доказательств.,1,-27.838053703308105,-3.976864814758301,-15.98876324765457,-1,-1,-1,-1
Зимой сопротивляемость организма болезням ослабляется.,1,-44.647762298583984,-4.058887481689453,-20.371579895836742,-1,-1,-1,-1
Внешне он ничем не отличался от многочисленных остальных гостей-мужчин.,1,-52.47403812408447,-3.748145580291748,-20.867124444107617,-1,-1,-1,-1
Консервация старинной постройки должна предотвратить её дальнейшее разрушение.,1,-58.706199645996094,-4.892183303833008,-25.51795283436065,-1,-1,-1,-1
Две молодые елки посажены по обоим ее концам.,1,-60.85854482650757,-4.681426525115967,-25.27112407678612,-1,-1,-1,-1
"Те, кто добивается в спорте наибольших успехов,становится примером для подражания.",0,-57.18826246261597,-3.1771256923675537,-19.518463783371526,-1,-1,-1,-1
"И в подтверждение того, что это — Красавка, лошадь медленно по вернулась в нашу сторону.",0,-96.73310279846191,-4.836655139923096,-30.88475152868045,-1,-1,-1,-1
Он принял таблетку аспирина.,1,-27.296198844909668,-3.8994569778442383,-15.677549355409852,-1,-1,-1,-1
Сегодня в овощном были не только яблоки.,1,-43.16315460205078,-4.795906066894531,-21.914509249986317,-1,-1,-1,-1
"Я считаю недопустимым жить так, как они живут.",1,-38.96227169036865,-3.246855974197388,-16.93581627340413,-1,-1,-1,-1
А зачем Вы завязали ногу?,1,-41.33521842956543,-5.905031204223633,-23.74084870674247,-1,-1,-1,-1
Он не отдал мне ключа.,1,-30.731480598449707,-5.121913433074951,-18.923015130530374,-1,-1,-1,-1
У него дача уже три года.,1,-37.84306716918945,-4.730383396148682,-20.386968273066405,-1,-1,-1,-1
"Она стояла совсем рядом со мной, и я смог внимательно ее разглядеть.",1,-42.79567575454712,-3.056833982467652,-17.018371818995483,-1,-1,-1,-1
Спортсмен дрался как лев и тигр.,0,-45.42418956756592,-4.542418956756592,-21.824041593363138,-1,-1,-1,-1
"Шеварднадзе проезжал по улицам Тбилиси стремительно, его автомобиль с четырех сторон облепляли (сам видел) машины охраны.",1,-108.69006586074828,-4.025557994842529,-28.48333708670997,-1,-1,-1,-1
Ты ехал в город?,0,-24.469382762908936,-4.893876552581787,-16.260878872954674,-1,-1,-1,-1
"Но вот внешность новых денег с точки зрения их защищенности от подделок, мягко говоря, озадачивает.",1,-79.49225664138794,-3.785345554351807,-24.596150849041617,-1,-1,-1,-1
Мама идет с рынка.,1,-22.34990358352661,-4.469980716705322,-14.852400590375051,-1,-1,-1,-1
Я видел вашу жену.,1,-26.853158473968502,-5.370631694793701,-17.844992721408076,-1,-1,-1,-1
Ни Кати ни Лены не было дома.,1,-33.13887596130371,-3.313887596130371,-15.92156545272071,-1,-1,-1,-1
Ты хоть кому-то помоги.,1,-30.452736377716064,-4.350390911102295,-17.490504091120407,-1,-1,-1,-1
Я не воспринимаю ненависти.,0,-35.4988489151001,-5.91647481918335,-21.858538607825423,-1,-1,-1,-1
Мне его няня передала.,1,-30.47876644134521,-5.079794406890869,-18.767405517018005,-1,-1,-1,-1
"Когда вы мне позвонили, я говорил с Иваном Сергеевичем.",1,-42.96313190460205,-3.304856300354004,-17.840167558781772,-1,-1,-1,-1
"Все разбежались, когда началась гроза.",1,-31.177255630493164,-3.8971569538116455,-16.795935660776383,-1,-1,-1,-1
Его легко было огорчить.,1,-25.91613292694092,-4.319355487823486,-15.957948200064232,-1,-1,-1,-1
Советую вам обратиться к врачу.,1,-24.10201358795166,-3.4431447982788086,-13.84297168029813,-1,-1,-1,-1
Он и минуты не держал книги в руках.,1,-33.83449602127075,-3.759388446807861,-17.178224874034907,-1,-1,-1,-1
"Я думаю, вы читали книгу Иванова на эту тему.",0,-44.71523141860962,-4.06502103805542,-20.40236425093863,-1,-1,-1,-1
"Даже неточное, строго говоря, упоминание про песню рекрутов дает нам представление о том, какие разговоры велись в семье Блоков.",1,-123.4519829750061,-4.572295665740967,-32.35184758839809,-1,-1,-1,-1
"Автор Веверлея существовал в действительности, а не только в легендах.",1,-70.98844146728516,-4.436777591705322,-26.057527572120197,-1,-1,-1,-1
Но над святым островом поцарствовала ночь – а ночью обычные птицы не покидают своих укрытий.,0,-97.41917896270752,-4.639008522033691,-30.14302175576908,-1,-1,-1,-1
"Когда узнаете, что такое метранпаж, позвоните в 210 номер.",1,-66.3878402709961,-4.149240016937256,-24.36879782904113,-1,-1,-1,-1
"Принеси из сада мою кофту, я оставила ее в беседке.",1,-57.19507455825806,-3.813004970550537,-21.830095430799847,-1,-1,-1,-1
