sentence,level-1, lp, mean_lp, pen_lp, div_lp, sub_lp, slor, pen_slor
"Вдруг решетка беззвучно поехала в сторону, и на балконе возникла таинственная фигура, прячущаяся от лунного света, и погрозила Ивану пальцем.",1,-39.49458657915966,-0.8976042404354468,-7.360404943909073,-0.1151835953466898,303.38919353106644,6.895208943887874,56.54109875334114
Этим летом не никуда ездили.,0,-20.968639417551454,-2.096863941755146,-10.07437806070689,-0.2992284336471512,49.10705212678079,4.910705212678079,23.593472076110483
Только Иван выразил какую бы то ни было готовность помочь.,1,-28.03604695269314,-2.156618996361011,-11.64179037116106,-0.2603474038005334,79.6510148094941,6.1270011391918535,33.07457783998685
"Теперь ты видишь собственными глазами, как тут хорошо.",1,-32.4853783557337,-2.707114862977809,-14.120490811646498,-0.3442100418477418,61.8912359386956,5.1576029948913,26.90239956031008
На поверку вся теория оказалась полной чепухой.,1,-26.61577242705971,-2.4196156751872464,-12.144065157425633,-0.2635640324031228,74.36831172274839,6.760755611158944,33.93227176418895
Он всегда сидит в библиотеке.,1,-34.21901518199593,-5.703169196999322,-21.070476574220866,-0.7356431146458335,12.296767404333664,2.049461234055611,7.571776924427035
"Представляю, как смешно это выглядело снизу.",1,-43.16691966820508,-3.5972433056837567,-18.763459851603923,-0.4735676316226042,47.98567773440982,3.9988064778674848,20.858040011707917
"Мне предоставилась возможность все видеть, сам оставаясь незамеченным.",0,-41.6823769134935,-2.778825127566233,-15.909241710617756,-0.3425994480207162,79.98266707388927,5.332177804925951,30.52761568226327
Наш новый сотрудник оказался коренастым мужчиной лет сорока.,1,-35.75081289932132,-2.5536294928086654,-14.21687158865214,-0.2956316558491726,85.17944673958864,6.084246195684903,33.87294324465989
Регистрация была проведена сразу по прибытию участников симпозиума в аэропорт.,0,-17.251655776330153,-1.0782284860206346,-6.33251676984086,-0.1347050211818102,110.8182233193105,6.9261389574569066,40.67773358522136
"Не думаю, что мосты уже сняли.",1,-38.2353914626874,-3.823539146268741,-18.37018517147154,-0.5690679092099808,28.954114119815745,2.8954114119815744,13.91099757343898
"Предстояли очередные выборы, на которых он дал согласие баллотироваться в депутаты Совета Союза Верховного Совета СССР на новый срок.",1,-21.47800448581984,-0.6928388543812851,-5.1223933905080274,-0.0875190922941724,223.93135617833303,7.223592134784936,53.40647449686048
"После собрания кто-то сострил, что пока не разошлись, надо собрать новое собрание, чтобы подтвердить решение этого собрания.",1,-42.21230336872395,-1.407076778957465,-10.296879145726392,-0.1882595494554242,182.01166556581825,6.067055518860609,44.39824349486226
Наблюдается приток иностранного капитала.,1,-12.651928198785754,-1.4057697998650838,-6.423552682807846,-0.1763554745690585,59.0891290590167,6.565458784335188,30.000338883384867
Последние пять человек пришло.,0,-38.921503077290254,-4.865187884661282,-20.967947572251934,-0.6460372123719649,21.32503122742509,2.665628903428136,11.488305985135014
Мы увидели славный город-герой.,1,-22.73910522231017,-2.2739105222310174,-10.924997955756606,-0.3092647132565662,50.7872437195615,5.078724371956151,24.40071974645412
"У него только одни достоинства, а недостатков нет.",1,-9.697029140545055,-0.6926449386103611,-3.8561757594374586,-0.098577048977852,88.67301988297308,6.333787134498077,35.26221741039511
План продуман не полностью.,1,-27.3871995061636,-4.5645332510272665,-16.863762517974205,-0.5667446841650358,20.936499456292765,3.4894165760487943,12.89172172237464
Через четверть часа он уже сидел в ресторане.,1,-19.461170377442613,-1.7691973070402376,-8.879611581858319,-0.23490734980834,63.38498319468232,5.762271199516575,28.92087269035861
