Вдруг решетка беззвучно поехала в сторону, и на балконе возникла таинственная фигура, прячущаяся от лунного света, и погрозила Ивану пальцем.	1	Expert	0	Paducheva2004
Этим летом не никуда ездили.	0	Expert	Syntax	Rusgram
Только Иван выразил какую бы то ни было готовность помочь.	1	Expert	0	Paducheva2013
Теперь ты видишь собственными глазами, как тут хорошо.	1	Expert	0	Paducheva1996
На поверку вся теория оказалась полной чепухой.	1	Expert	0	Paducheva1996
Он всегда сидит в библиотеке.	1	Expert	0	Seliverstova
Представляю, как смешно это выглядело снизу.	1	Expert	0	Paducheva2004
Мне предоставилась возможность все видеть, сам оставаясь незамеченным.	0	Expert	Syntax	Testelets
Наш новый сотрудник оказался коренастым мужчиной лет сорока.	1	Expert	0	USE5
Регистрация была проведена сразу по прибытию участников симпозиума в аэропорт.	0	Expert	Syntax	USE8
Не думаю, что мосты уже сняли.	1	Expert	0	Paducheva2013
Предстояли очередные выборы, на которых он дал согласие баллотироваться в депутаты Совета Союза Верховного Совета СССР на новый срок.	1	Expert	0	Lutikova
После собрания кто-то сострил, что пока не разошлись, надо собрать новое собрание, чтобы подтвердить решение этого собрания.	1	Expert	0	Paducheva2004
Наблюдается приток иностранного капитала.	1	Expert	0	Paducheva2013
Последние пять человек пришло.	0	Expert	Syntax	Testelets
Мы увидели славный город-герой.	1	Expert	0	Testelets
У него только одни достоинства, а недостатков нет.	1	Expert	0	Seliverstova
План продуман не полностью.	1	Expert	0	Paducheva2013
Через четверть часа он уже сидел в ресторане.	1	Expert	0	Paducheva1996
Как я заметил еще из окна, каждый из них что-то нес.	1	Expert	0	Paducheva2004
Придет он или нет, зависит от ряда обстоятельств.	1	Expert	0	Testelets
Ценность сведений установилась на основе предпочтений.	0	Expert	Semantics	Rusgram
Они приняли во внимание слухи, что Аня предаст Катю.	1	Expert	0	Mitrenina
На повороте дороги показалась коляска.	1	Expert	0	Paducheva2004
Он немедленно не ушел.	0	Expert	Semantics	Paducheva2013
Пиво он любит темное.	1	Expert	0	Testelets
Хорошо бы он не надел второпях мою шляпу.	1	Expert	0	Paducheva2013
Занимаясь определённым делом, оно начинает хорошо получаться.	0	Expert	Syntax	USE8
Мировая общественность очень удивилась, когда в январе 2012 года обыкновенно улыбчивые и доброжелательные мальдивцы выходят на демонстрации против президента.	0	Expert	Syntax	USE8
Он спокойно принял возражения оппонента.	1	Expert	0	Seliverstova
Он лично поруководил боевыми действиями, в результате которых беспорядки были подавлены, а иудеи были рассеянны по всему миру.	0	Expert	Semantics	Paducheva1996
Сильный прибой и каменистый берег сделали пляж непригодным для купания.	1	Expert	0	USE5
Иван прилег, чтобы он отдохнул.	0	Expert	Syntax	Testelets
Мы говорим врагу: сдавайся, или мы тебя уничтожим.	1	Expert	0	Testelets
С 23 по 33 год он выпустил множество книг, брошюр и статей.	1	Expert	0	Paducheva1996
К счастью, выздоровление не должно быть сложным: как правило, пациенты быстро приходят в себя после таких операций.	0	Expert	Syntax	Testelets
Опера Д. Д. Шостаковича «Леди Макбет Мценского уезда» — это два с половиной часа непрерывной музыки, почти нестерпимой в своём драматизме.	1	Expert	0	USE5
У этого животного есть острые зубы.	0	Expert	Semantics	Seliverstova
Он открыл шкаф и взял оттуда два больших полотенца.	1	Expert	0	Seliverstova
Звуков с улицы не доносилось.	1	Expert	0	Paducheva2004
В одном только дедушка не последовал примеру большей части помещиков, живущих на покое: он завелся всем дворянским хозяйством, только не выбрал себе по сердцу хозяюшки.	1	Expert	0	Paducheva2013
Кому ты хочешь, чтобы мы сообщили?	1	Expert	0	Testelets
Мы общаемся, и у нас вроде происходит какой-то благотворный взаимообмен энергиями, я это чувствую.	1	Expert	0	USE5
Он живет в небольшом городке у Волги.	0	Expert	Semantics	Seliverstova
Сильно этот поезд не опоздал.	1	Expert	0	Paducheva2013
Он, я думаю, согласится.	1	Expert	0	Paducheva1996
Здесь всегда холодно.	1	Expert	0	Rusgram
Иван выучился в колледже на слесаря и решил пойти на завод им.	0	Expert	Syntax	Testelets
Истребитель накренился, кончик крыла снёс макушку высокого дереву.	0	Expert	Syntax	Testelets
Через минуту нам опять открылась панорама громадного северного порта, масса зданий, и дымов, и труб, и судов на Двине.	1	Expert	0	Paducheva2013
В ту минуту он жалел, что остался дома.	1	Expert	0	Paducheva1996
График проведения ремонтных работ в цехах завода был нарушен вопреки указания директора.	0	Expert	Syntax	USE8
Думаю, что и я потерял в тебе самое дорогое, что имел в жизни.	1	Expert	0	Seliverstova
Его осуждали на пять лет, но тут вышел указ.	1	Expert	0	Paducheva1996
Финансовый строй Веймарской республики, сложившийся в результате ноябрьской революции 1918 года, также не способствовал эффективному функционированию СФВ, несмотря на создание хорошо разработанной законодательной базы.	1	Expert	0	Paducheva2013
Они грелись у костров.	1	Expert	0	Seliverstova
Ты должен помогать любому своему родственнику.	1	Expert	0	Seliverstova
Мне захотелось узнать, как разводить и ухаживать за первоцветами в домашних условиях.	0	Expert	Syntax	USE8
Она принимает у него заказ уже десять минут.	1	Expert	0	Seliverstova
Обидный промах привёл теннисиста к поражению в матче.	1	Expert	0	USE5
Это был клёст-сосновик, с перьями кирпичного и клюквенного цвета, с клювом, скрещенным, как два кривых костяных ножа.	1	Expert	0	USE5
Отсутствие жены президента на вечере журналисты объясняют болезнью.	1	Expert	0	Paducheva2004
Раз мы затронули тему коррупции, есть ли, на ваш взгляд, свет в конце тоннеля?	1	Expert	0	Rusgram
У меня есть седые волосы.	1	Expert	0	Seliverstova
Никогда не забуду выражения растерянности и вместе с тем готовности к сопротивлению, которое было написано у него на лице, когда он выскочил на поверхность воды.	1	Expert	0	Paducheva2013
Проснешься не торопясь, посердишься на что-нибудь, поворчишь.	1	Expert	0	Seliverstova
Сегодня письмо получил Саша.	1	Expert	0	Testelets
