sentence,level-1, lp, mean_lp, pen_lp, div_lp, sub_lp, slor, pen_slor
"Вдруг решетка беззвучно поехала в сторону, и на балконе возникла таинственная фигура, прячущаяся от лунного света, и погрозила Ивану пальцем.",1,-96.36985635757446,-3.1087050437927246,-22.98371413304063,-1,-1,-1,-1
Этим летом не никуда ездили.,0,-42.7834358215332,-6.111919403076172,-24.57263117465821,-1,-1,-1,-1
Только Иван выразил какую бы то ни было готовность помочь.,1,-48.422508239746094,-4.402046203613281,-22.0938955185686,-1,-1,-1,-1
"Теперь ты видишь собственными глазами, как тут хорошо.",1,-37.87827491760254,-3.787827491760254,-18.19860860823936,-1,-1,-1,-1
На поверку вся теория оказалась полной чепухой.,1,-35.36282300949097,-3.5362823009490967,-16.990060308504148,-1,-1,-1,-1
Он всегда сидит в библиотеке.,1,-25.469767570495605,-4.244961261749268,-15.683097192912127,-1,-1,-1,-1
"Представляю, как смешно это выглядело снизу.",1,-30.01399278640747,-3.001399278640747,-14.420216038838571,-1,-1,-1,-1
"Мне предоставилась возможность все видеть, сам оставаясь незамеченным.",0,-48.024715185165405,-3.694208860397339,-19.941957857461237,-1,-1,-1,-1
Наш новый сотрудник оказался коренастым мужчиной лет сорока.,1,-34.493491888046265,-3.135771989822388,-15.738457869052422,-1,-1,-1,-1
Регистрация была проведена сразу по прибытию участников симпозиума в аэропорт.,0,-59.23355865478516,-3.702097415924072,-21.74269579581025,-1,-1,-1,-1
"Не думаю, что мосты уже сняли.",1,-35.30185317993164,-4.412731647491455,-19.0179553243419,-1,-1,-1,-1
"Предстояли очередные выборы, на которых он дал согласие баллотироваться в депутаты Совета Союза Верховного Совета СССР на новый срок.",1,-63.30809545516968,-2.434926748275757,-17.017309349152935,-1,-1,-1,-1
"После собрания кто-то сострил, что пока не разошлись, надо собрать новое собрание, чтобы подтвердить решение этого собрания.",1,-94.08712983131409,-3.763485193252564,-25.96296075800327,-1,-1,-1,-1
Наблюдается приток иностранного капитала.,1,-33.70597171783447,-4.815138816833496,-19.35899713292652,-1,-1,-1,-1
Последние пять человек пришло.,0,-36.19949913024902,-6.033249855041504,-22.28996639341481,-1,-1,-1,-1
Мы увидели славный город-герой.,1,-34.630794525146484,-4.328849315643311,-18.65643992593862,-1,-1,-1,-1
"У него только одни достоинства, а недостатков нет.",1,-33.436949253082275,-3.3436949253082275,-16.064774698269716,-1,-1,-1,-1
План продуман не полностью.,1,-32.628456115722656,-5.438076019287109,-20.091084345438706,-1,-1,-1,-1
Через четверть часа он уже сидел в ресторане.,1,-26.443310737609863,-2.938145637512207,-13.425621530732158,-1,-1,-1,-1
"Как я заметил еще из окна, каждый из них что-то нес.",1,-56.43604516983032,-3.7624030113220215,-21.540390694646717,-1,-1,-1,-1
"Придет он или нет, зависит от ряда обстоятельств.",1,-36.82137060165405,-3.347397327423096,-16.800606670260827,-1,-1,-1,-1
Ценность сведений установилась на основе предпочтений.,0,-59.55121994018555,-5.955121994018555,-28.611370137423638,-1,-1,-1,-1
"Они приняли во внимание слухи, что Аня предаст Катю.",1,-57.11860370635986,-4.393738746643066,-23.71813728821668,-1,-1,-1,-1
На повороте дороги показалась коляска.,1,-31.510507583618164,-3.9388134479522714,-16.975466483817815,-1,-1,-1,-1
Он немедленно не ушел.,0,-28.02150249481201,-5.604300498962402,-18.621403830301062,-1,-1,-1,-1
Пиво он любит темное.,1,-25.52629566192627,-4.254382610321045,-15.717904560100822,-1,-1,-1,-1
Хорошо бы он не надел второпях мою шляпу.,1,-50.13025379180908,-4.557295799255371,-22.873094142744986,-1,-1,-1,-1
"Занимаясь определённым делом, оно начинает хорошо получаться.",0,-43.852829694747925,-3.3732945919036865,-18.209608913479197,-1,-1,-1,-1
"Мировая общественность очень удивилась, когда в январе 2012 года обыкновенно улыбчивые и доброжелательные мальдивцы выходят на демонстрации против президента.",0,-111.85636520385742,-4.302167892456055,-30.067155798325796,-1,-1,-1,-1
Он спокойно принял возражения оппонента.,1,-37.09707403182984,-5.299582004547119,-21.30667395778308,-1,-1,-1,-1
"Он лично поруководил боевыми действиями, в результате которых беспорядки были подавлены, а иудеи были рассеянны по всему миру.",0,-88.31542038917542,-3.2709414958953857,-23.14395404012559,-1,-1,-1,-1
Сильный прибой и каменистый берег сделали пляж непригодным для купания.,1,-47.09496688842773,-2.9434354305267334,-17.287017052893535,-1,-1,-1,-1
"Иван прилег, чтобы он отдохнул.",0,-30.87215280532837,-3.430239200592041,-15.674203715110645,-1,-1,-1,-1
"Мы говорим врагу: сдавайся, или мы тебя уничтожим.",1,-39.93249487876892,-3.071730375289917,-16.581714788840213,-1,-1,-1,-1
"С 23 по 33 год он выпустил множество книг, брошюр и статей.",1,-58.32173109054565,-3.888115406036377,-22.26011531988173,-1,-1,-1,-1
"К счастью, выздоровление не должно быть сложным: как правило, пациенты быстро приходят в себя после таких операций.",0,-71.27638101577759,-3.239835500717163,-21.398120542818845,-1,-1,-1,-1
"Опера Д. Д. Шостаковича «Леди Макбет Мценского уезда» — это два с половиной часа непрерывной музыки, почти нестерпимой в своём драматизме.",1,-91.60007357597352,-2.348719835281372,-18.606071332049915,-1,-1,-1,-1
У этого животного есть острые зубы.,0,-30.260535717010494,-4.322933673858643,-17.380113799729493,-1,-1,-1,-1
Он открыл шкаф и взял оттуда два больших полотенца.,1,-34.027352809906006,-3.093395709991455,-15.525771073924794,-1,-1,-1,-1
Звуков с улицы не доносилось.,1,-29.523690462112427,-3.280410051345825,-14.989571399282182,-1,-1,-1,-1
"В одном только дедушка не последовал примеру большей части помещиков, живущих на покое: он завелся всем дворянским хозяйством, только не выбрал себе по сердцу хозяюшки.",1,-159.02743291854858,-4.8190131187438965,-36.321700370956336,-1,-1,-1,-1
"Кому ты хочешь, чтобы мы сообщили?",1,-32.61418318748474,-3.623798131942749,-16.558655773248887,-1,-1,-1,-1
"Мы общаемся, и у нас вроде происходит какой-то благотворный взаимообмен энергиями, я это чувствую.",1,-75.50528192520142,-3.2828383445739746,-22.01769790798305,-1,-1,-1,-1
Он живет в небольшом городке у Волги.,0,-34.30316162109375,-4.287895202636719,-18.47993621945328,-1,-1,-1,-1
Сильно этот поезд не опоздал.,1,-38.157445430755615,-5.451063632965088,-21.91569739859905,-1,-1,-1,-1
"Он, я думаю, согласится.",1,-24.84049677848816,-3.54864239692688,-14.267118893379248,-1,-1,-1,-1
Здесь всегда холодно.,1,-16.806116104125977,-4.201529026031494,-12.15050566559711,-1,-1,-1,-1
Иван выучился в колледже на слесаря и решил пойти на завод им.,0,-49.59254455566406,-3.099534034729004,-18.203795863392067,-1,-1,-1,-1
"Истребитель накренился, кончик крыла снёс макушку высокого дереву.",0,-69.53543090820312,-4.345964431762695,-25.524175072427543,-1,-1,-1,-1
"Через минуту нам опять открылась панорама громадного северного порта, масса зданий, и дымов, и труб, и судов на Двине.",1,-112.80459785461426,-4.028735637664795,-28.842748962198844,-1,-1,-1,-1
"В ту минуту он жалел, что остался дома.",1,-36.36893033981323,-3.6368930339813232,-17.47344434756731,-1,-1,-1,-1
