sentence,level-1, lp, mean_lp, pen_lp, div_lp, sub_lp, slor, pen_slor
"Вдруг решетка беззвучно поехала в сторону, и на балконе возникла таинственная фигура, прячущаяся от лунного света, и погрозила Ивану пальцем.",1,-72.69270158105064,-1.3979365688663583,-12.00361134233461,-0.1875823937623304,314.8314158110823,6.054450304059275,51.98752930566968
Этим летом не никуда ездили.,0,-25.800953164696693,-2.345541196790609,-11.772284919193597,-0.3087413646216907,57.767224349551554,5.251565849959232,26.357639568309075
Только Иван выразил какую бы то ни было готовность помочь.,1,-34.91240083798766,-2.053670637528686,-12.347031917978835,-0.2622286978385325,98.22482298899789,5.777930764058699,34.73794398188065
"Теперь ты видишь собственными глазами, как тут хорошо.",1,-33.142692553468805,-1.8412606974149337,-11.31166460444875,-0.2370846300319186,106.64997367296186,5.92499853738677,36.39984078890325
На поверку вся теория оказалась полной чепухой.,1,-52.39371250569821,-4.030285577361401,-21.756156236556237,-0.4934888333535407,53.77629371238128,4.136637977875482,22.33026429845492
Он всегда сидит в библиотеке.,1,-6.588432274824299,-0.65884322748243,-3.165410794769332,-0.08060843753276,75.14534741972312,7.514534741972312,36.103565154341176
"Представляю, как смешно это выглядело снизу.",1,-24.65515052061528,-1.4503029718008988,-8.719478555292502,-0.2030464501627244,96.77100837483091,5.692412257342996,34.22379156001649
"Мне предоставилась возможность все видеть, сам оставаясь незамеченным.",0,-41.6950579257682,-2.1944767329351684,-13.7542396932963,-0.2691098372440228,113.24189403693558,5.960099686154504,37.35589375316058
Наш новый сотрудник оказался коренастым мужчиной лет сорока.,1,-61.92266074940562,-4.128177383293708,-23.634510557577265,-0.5191343945729754,57.3579367158064,3.823862447720427,21.892256315610396
Регистрация была проведена сразу по прибытию участников симпозиума в аэропорт.,0,-22.34863422717899,-1.0642206774847138,-6.915017914280103,-0.1371209097615077,140.63623996924824,6.69696380805944,43.51505818649319
"Не думаю, что мосты уже сняли.",1,-25.38570866174996,-2.1154757218124964,-11.034461780929416,-0.3039360577138931,58.13747990854637,4.844789992378864,25.27074617605668
"Предстояли очередные выборы, на которых он дал согласие баллотироваться в депутаты Совета Союза Верховного Совета СССР на новый срок.",1,-23.21920404885896,-0.7036122439048168,-5.303242068597736,-0.0881856337998992,240.07996440238023,7.275150436435766,54.834014308458514
"После собрания кто-то сострил, что пока не разошлись, надо собрать новое собрание, чтобы подтвердить решение этого собрания.",1,-64.6900457652664,-2.0867756698473032,-15.428242557563363,-0.271345144178848,173.71497880605276,5.603708993743637,41.4301272660527
Наблюдается приток иностранного капитала.,1,-7.566214701917488,-0.5820165155321144,-3.141822583317471,-0.075261480921824,92.9661507158811,7.151242362760085,38.603603427910784
Последние пять человек пришло.,0,-22.816401660442352,-3.2594859514917647,-13.104581527150874,-0.4134086079711976,32.37451894571973,4.624931277959961,18.5942783283843
Мы увидели славный город-герой.,1,-25.388868402689692,-2.308078945699063,-11.584261662911642,-0.3071156209608392,57.27989433643215,5.207263121493832,26.13528391627193
"У него только одни достоинства, а недостатков нет.",1,-20.32832720398437,-1.1957839531755514,-7.189265097850536,-0.1647887641276677,103.03158335542304,6.060681373848414,36.43789076989272
План продуман не полностью.,1,-21.827706336975098,-2.728463292121887,-11.759109127603336,-0.3806778536875046,35.51134327029017,4.438917908786271,19.130812662426223
Через четверть часа он уже сидел в ресторане.,1,-13.766332590254024,-0.9177555060169348,-5.254304789327092,-0.1164165920384307,104.4842736953995,6.965618246359966,39.8793372227374
"Как я заметил еще из окна, каждый из них что-то нес.",1,-50.40744975800044,-2.8004138754444687,-17.20415938772073,-0.4019305596275855,75.00587985969814,4.166993325538786,25.599650811885606
"Придет он или нет, зависит от ряда обстоятельств.",1,-37.371557142119855,-2.4914371428079902,-14.26389711196336,-0.3310516635892571,75.51582948792452,5.034388632528302,28.822722533183267
Ценность сведений установилась на основе предпочтений.,0,-13.921428073663265,-0.8189075337448979,-4.923417257009087,-0.1024838442008068,121.91879320439124,7.171693717905368,43.11749392663214
"Они приняли во внимание слухи, что Аня предаст Катю.",1,-52.58507522661239,-3.0932397192124936,-18.597105516898196,-0.4335945133250229,68.69200188251273,4.040705993088984,24.29344070862053
На повороте дороги показалась коляска.,1,-19.48074258863926,-1.6233952157199385,-8.467737199015255,-0.2071615809402337,74.55572160623223,6.212976800519352,32.40729938152814
Он немедленно не ушел.,0,-15.01366901397705,-2.1448098591395786,-8.623088449412698,-0.2849481583443595,37.67545556647752,5.382207938068217,21.638866916488304
Пиво он любит темное.,1,-25.722815460003403,-2.858090606667045,-13.059816469187188,-0.3863884476293556,40.84960827011312,4.538845363345903,20.73989092194801
Хорошо бы он не надел второпях мою шляпу.,1,-66.89845851063728,-3.716581028368738,-22.83257233871776,-0.4947621268260095,68.31491956218179,3.795273309010099,23.316013215299744
"Занимаясь определённым делом, оно начинает хорошо получаться.",0,-29.665276658728544,-1.7450162740428556,-10.491347170901296,-0.2152696131660798,108.13994453541125,6.361173207965368,38.24450094346891
"Мировая общественность очень удивилась, когда в январе 2012 года обыкновенно улыбчивые и доброжелательные мальдивцы выходят на демонстрации против президента.",0,-64.20208334649215,-1.4591382578748215,-11.965015274324662,-0.1830179110558806,286.59463909500374,6.513514524886449,53.41118318240123
Он спокойно принял возражения оппонента.,1,-11.488599069212796,-0.8206142192294854,-4.56862164674324,-0.1119676196918074,91.1178428720854,6.508417348006099,36.23443962506409
"Он лично поруководил боевыми действиями, в результате которых беспорядки были подавлены, а иудеи были рассеянны по всему миру.",0,-35.11038099682628,-0.900266179405802,-7.131721927936855,-0.1211446699806068,254.7115402024048,6.531065133394995,51.7377432254085
Сильный прибой и каменистый берег сделали пляж непригодным для купания.,1,-27.338383016409352,-1.0514762698618982,-7.348597640649396,-0.1413647585251043,166.05057263023045,6.386560485778094,44.63463861511367
"Иван прилег, чтобы он отдохнул.",0,-35.91969212144613,-2.9933076767871776,-15.613291524693889,-0.4465043181138619,44.5267686724366,3.710564056036384,19.354548407175223
"Мы говорим врагу: сдавайся, или мы тебя уничтожим.",1,-52.94567125895264,-2.406621420861484,-15.8949969074432,-0.3375067127733399,103.9272715749562,4.723966889770736,31.200353513387796
"С 23 по 33 год он выпустил множество книг, брошюр и статей.",1,-21.55066982097924,-1.1972594344988463,-7.355284988473836,-0.1620582423374347,111.4303468193643,6.190574823298017,38.03139132237245
"К счастью, выздоровление не должно быть сложным: как правило, пациенты быстро приходят в себя после таких операций.",0,-42.027785581653006,-1.3133682994266564,-9.806095736974845,-0.1761340545803859,196.58470580610373,6.1432720564407415,45.86795185329076
"Опера Д. Д. Шостаковича «Леди Макбет Мценского уезда» — это два с половиной часа непрерывной музыки, почти нестерпимой в своём драматизме.",1,-97.05666098246002,-2.065035340052341,-17.248195724414042,-0.2752034297110324,255.6157642281229,5.438633281449424,45.42615300199862
У этого животного есть острые зубы.,0,-9.456279907375574,-0.7880233256146312,-4.110381971921423,-0.1069643678406225,78.94960794366546,6.579133995305455,34.317199613433374
Он открыл шкаф и взял оттуда два больших полотенца.,1,-24.583389557898045,-1.3657438643276691,-8.390358057687314,-0.1828043934526158,109.89581574780064,6.105323097100036,37.50765292125643
Звуков с улицы не доносилось.,1,-28.160077320528217,-2.816007732052822,-13.529502772997118,-0.3789199602567477,46.15661294157245,4.615661294157245,22.175934237578485
"В одном только дедушка не последовал примеру большей части помещиков, живущих на покое: он завелся всем дворянским хозяйством, только не выбрал себе по сердцу хозяюшки.",1,-98.69446410657838,-2.0141727368689466,-17.017618588193553,-0.2644627284638795,274.49409323698745,5.601920270142601,47.33027151730322
"Кому ты хочешь, чтобы мы сообщили?",1,-22.95821882225573,-1.6398727730182665,-9.129695870674382,-0.2131989495986893,84.7262649215463,6.051876065824736,33.69272838544638
"Мы общаемся, и у нас вроде происходит какой-то благотворный взаимообмен энергиями, я это чувствую.",1,-47.93670882684819,-1.295586725049951,-10.106244048833604,-0.1822160317779123,215.1395329237909,5.814581970913268,45.35673552670259
Он живет в небольшом городке у Волги.,0,-11.320697754999856,-0.7547131836666571,-4.320860043344529,-0.1038592182144729,97.67971597449906,6.511981064966604,37.28218798289617
Сильно этот поезд не опоздал.,1,-23.461578279733654,-2.13287075270306,-10.704890722444572,-0.2936195720889413,56.44310284495252,5.131191167722957,25.75347833751005
"Он, я думаю, согласится.",1,-9.713532494497484,-0.8094610412081238,-4.222202519398165,-0.1209985380507351,70.56456549726967,5.8803804581058055,30.67245478321964
Здесь всегда холодно.,1,-12.105609070509672,-2.017601511751612,-7.454070521323865,-0.2523283392089597,35.87001312262298,5.978335520437163,22.08708424825972
Иван выучился в колледже на слесаря и решил пойти на завод им.,0,-37.12331357691437,-1.8561656788457184,-11.852657286648313,-0.2540295250231385,109.01447719182778,5.450723859591389,34.805924173789016
"Истребитель накренился, кончик крыла снёс макушку высокого дереву.",0,-61.10212608193979,-2.7773693673608992,-18.34367346785528,-0.3629825949167634,107.23136135690363,4.874152788950166,32.1922853487423
"Через минуту нам опять открылась панорама громадного северного порта, масса зданий, и дымов, и труб, и судов на Двине.",1,-65.37116163410246,-1.6342790408525616,-13.041789662963804,-0.2236106189075958,226.97256494498384,5.674314123624596,45.28187012867227
"В ту минуту он жалел, что остался дома.",1,-26.255593053996563,-2.0196610041535816,-10.902468201772594,-0.2820781133568772,66.82356413952428,5.14027416457879,27.748060447995787
График проведения ремонтных работ в цехах завода был нарушен вопреки указания директора.,0,-30.46470922464505,-1.2693628843602105,-8.637730290769065,-0.1580392358834287,162.30203666823,6.76258486117625,46.01787622671839
